수치지도 지형지물 표준코드(안),,,,,,,,,,,,,,,
No,대분류,중분류,소분류(지형지물명),통합코드,수치지도 1.0,,,,,,,,,수치지도 2.0,비고
,,,,,"1:5,000",,,"1:2,500",,,"1:1,000",,,,
,,,,,구조,표현,색상,구조,표현,색상,구조,표현,색상,구조,
191,,,절,B0014423,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
192,,,기타종교시설,B0014424,점,,"R/G/B
255/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
193,,,박물관,B0014425,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
194,,,미술관,B0014426,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
195,,,공회당,B0014427,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
196,,,(언론기관)미분류,B0014430,점,,,,,,,,,,
197,,,TV방송국,B0014431,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,심볼변경
198,,,라디오 방송국,B0014432,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
199,,,신문사,B0014433,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
200,,,잡지사,B0014434,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
201,,,CATV방송국,B0014435,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
202,,,(숙박)미분류,B0014510,점,,,,,,,,,,
203,,,호텔,B0014511,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
204,,,여관,B0014512,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
205,,,콘도미니엄,B0014513,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
206,,,목욕탕,B0014514,점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",,
207,,,"(운수,창고)미분류",B0014520,점,,,,,,,,,,
208,,,역,B0014521,점,,,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
209,,,고속버스터미널,B0014522,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
210,,,시외버스터미널,B0014523,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
211,,,창고,B0014524,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
212,,,공항,B0014525,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
213,,,자동차정비수리소,B0014526,점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",,
214,,,세차장,B0014527,점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",,
215,,,"(금융,조합)미분류",B0014530,점,,"R/G/B
0/0/0",,,,,,,,
216,,,은행,B0014531,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
217,,,협동조합,B0014532,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
218,,,기타금융기관,B0014533,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
219,,,보험회사,B0014534,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
220,,,(병원)미분류,B0014610,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
221,,,일반병원,B0014611,점,,"R/G/B
0/0/0",,,,,,,,
222,,,결핵병원,B0014612,점,,"R/G/B
0/0/0",,,,,,,,
223,,,나병원,B0014613,점,,"R/G/B
0/0/0",,,,,,,,
224,,,정신병원,B0014614,점,,"R/G/B
0/0/0",,,,,,,,
225,,,약국,B0014615,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
226,,,(아동복지시설)미분류,B0014620,점,,,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
227,,,유아시설,B0014621,점,,,,,,,,,,
228,,,아동상담소,B0014622,점,,"R/G/B
0/0/0",,,,,,,,
229,,,자립지원시설,B0014623,점,,"R/G/B
0/0/0",,,,,,,,
230,,,탁아시설,B0014624,점,,"R/G/B
0/0/0",,,,,,,,
231,,,영아시설,B0014625,점,,"R/G/B
0/0/0",,,,,,,,
232,,,아동일시보호시설,B0014626,점,,"R/G/B
0/0/0",,,,,,,,
233,,,아동직업보도시설,B0014627,점,,"R/G/B
0/0/0",,,,,,,,
234,,,(사회복지시설)미분류,B0014630,점,,,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
235,,,양로시설,B0014631,점,,"R/G/B
0/0/0",,,,,,,,
236,,,장애인재활시설,B0014632,점,,"R/G/B
0/0/0",,,,,,,,
237,,,모자보호시설,B0014633,점,,"R/G/B
0/0/0",,,,,,,,
238,,,미혼모시설,B0014634,점,,"R/G/B
0/0/0",,,,,,,,
239,,,노인복지회관,B0014635,점,,"R/G/B
0/0/0",,,,,,,,
240,,,부녀복지관,B0014636,점,,"R/G/B
0/0/0",,,,,,,,
241,,,사회복지관,B0014637,점,,"R/G/B
0/0/0",,,,,,,,
242,,담장,담장(미분류),B0020000,,,,,,,,,,선,
243,,,(담장)미분류,B0024120,선,,,선,,,선,,,,
